Date,Region,Branch,Product,Category,Customer_Segment,Quantity,Discount,Sales,Cost,Profit
2026-01-02,East,B09,P-D,Food,Returning,5,0.046,1851.560,1320.270,531.290
2026-03-26,Central,B01,P-C,Beauty,New,4,0.016,2530.670,1413.840,1116.830
2026-06-12,Central,B04,P-D,Food,New,7,0.091,2442.190,1826.810,615.380
2026-05-25,North,B02,P-C,Beauty,Returning,4,0.101,2147.310,1314.010,833.300
2026-06-14,South,B01,P-B,Electronics,New,3,0.201,5270.100,5345.840,-75.740
2026-06-26,South,B10,P-E,Sports,Returning,2,0.137,2312.050,1634.030,678.020
2026-01-06,North,B07,P-E,Sports,New,1,0.022,1110.500,692.870,417.640
2026-01-02,Central,B06,P-B,Electronics,Returning,2,0.091,3781.710,3038.210,743.500
2026-05-07,Central,B07,P-A,Home,Returning,6,0.077,5163.030,3468.080,1694.960
2026-03-26,Central,B02,P-C,Beauty,New,5,0.018,3198.260,1790.490,1407.770
2026-05-13,Central,B08,P-C,Beauty,New,7,0.215,3248.450,2274.900,973.560
2026-02-18,Central,B09,P-E,Sports,New,5,0.064,6106.020,3980.180,2125.840
2026-06-12,Central,B01,P-A,Home,Returning,4,0.000,3633.380,2252.700,1380.680
2026-03-19,North,B12,P-E,Sports,Returning,2,0.106,2270.160,1549.050,721.110
2026-04-20,South,B01,P-B,Electronics,Returning,2,0.228,3813.770,4003.130,-189.360
2026-03-05,East,B05,P-B,Electronics,Returning,7,0.250,12768.700,10125.920,2642.770
2026-01-31,Central,B02,P-D,Food,Returning,3,0.050,1105.970,791.740,314.230
2026-03-11,Central,B01,P-B,Electronics,New,2,0.174,3180.620,2812.450,368.170
2026-01-12,South,B08,P-E,Sports,Returning,5,0.066,6218.570,4063.480,2155.100
2026-04-30,East,B03,P-E,Sports,Returning,4,0.147,4574.980,3273.280,1301.700
2026-01-24,Central,B08,P-A,Home,Returning,7,0.014,5329.380,3350.490,1978.890
2026-03-12,East,B12,P-A,Home,New,1,0.057,959.890,631.040,328.850
2026-02-24,East,B11,P-D,Food,VIP,2,0.037,705.630,498.250,207.390
2026-05-03,South,B12,P-B,Electronics,Returning,7,0.134,11718.460,10959.050,759.410
2026-05-04,East,B01,P-D,Food,New,6,0.091,1981.110,1482.630,498.470
2026-01-31,North,B03,P-B,Electronics,Returning,3,0.148,5433.490,4653.070,780.420
2026-05-29,Central,B12,P-A,Home,Returning,1,0.159,803.570,592.330,211.240
2026-02-08,North,B08,P-D,Food,Returning,1,0.063,332.030,241.040,90.980
2026-03-12,Central,B09,P-C,Beauty,New,7,0.097,4450.330,2711.740,1738.590
2026-04-11,Central,B07,P-E,Sports,Returning,3,0.057,3210.840,2076.590,1134.240
2026-05-12,East,B12,P-C,Beauty,VIP,3,0.013,2140.240,1192.620,947.620
2026-01-27,Central,B02,P-B,Electronics,Returning,5,0.092,9827.280,7898.050,1929.230
2026-02-07,Central,B02,P-B,Electronics,Returning,7,0.088,13612.130,10901.210,2710.920
2026-03-21,Central,B02,P-D,Food,Returning,1,0.084,312.980,232.290,80.700
2026-05-03,Central,B12,P-B,Electronics,New,1,0.111,1783.370,1463.820,319.560
2026-06-17,North,B11,P-E,Sports,New,5,0.073,5366.020,3531.410,1834.610
2026-03-06,South,B03,P-A,Home,Returning,6,0.111,4755.620,3317.860,1437.760
2026-02-23,East,B08,P-C,Beauty,New,2,0.106,2769.290,1704.370,1064.920
2026-04-17,Central,B07,P-B,Electronics,Returning,7,0.044,13319.540,10175.810,3143.730
2026-03-06,North,B07,P-A,Home,Returning,4,0.132,2966.610,2119.070,847.540
2026-02-27,Central,B06,P-B,Electronics,Returning,5,0.091,9332.910,7498.910,1833.990
2026-03-14,Central,B05,P-E,Sports,New,4,0.118,3892.090,2690.610,1201.490
2026-01-26,Central,B06,P-A,Home,New,3,0.057,2386.900,1568.970,817.940
2026-02-05,Central,B07,P-A,Home,New,2,0.084,1687.430,1142.280,545.150
2026-04-29,South,B01,P-C,Beauty,New,2,0.096,1316.840,801.220,515.610
2026-05-09,South,B09,P-B,Electronics,New,2,0.200,3060.280,3099.760,-39.490
2026-03-06,Central,B08,P-C,Beauty,New,5,0.000,3102.640,1706.450,1396.190
2026-03-30,Central,B04,P-A,Home,New,7,0.000,6550.580,4061.360,2489.220
2026-01-27,East,B06,P-B,Electronics,New,4,0.119,7291.790,6041.910,1249.880
2026-03-27,South,B09,P-A,Home,Returning,4,0.007,3315.980,2069.640,1246.340
2026-03-14,East,B03,P-D,Food,New,4,0.145,1046.260,831.740,214.520
2026-03-09,Central,B08,P-D,Food,VIP,3,0.042,928.370,658.820,269.550
2026-03-25,South,B07,P-C,Beauty,Returning,5,0.063,2630.870,1543.530,1087.340
2026-03-04,Central,B01,P-C,Beauty,Returning,6,0.123,3464.400,2173.430,1290.970
2026-06-15,North,B05,P-E,Sports,VIP,6,0.065,6825.030,4451.700,2373.320
2026-01-24,South,B07,P-A,Home,New,1,0.106,782.030,542.190,239.840
2026-03-03,North,B10,P-A,Home,New,2,0.037,1758.010,1131.370,626.640
2026-02-04,South,B10,P-D,Food,Returning,2,0.095,635.860,477.860,158.000
2026-03-25,Central,B03,P-C,Beauty,Returning,6,0.025,3511.700,1980.550,1531.140
2026-05-15,Central,B10,P-A,Home,Returning,3,0.022,2361.620,1497.220,864.400
2026-06-25,South,B01,P-D,Food,Returning,7,0.097,2479.670,1868.210,611.460
2026-04-06,South,B11,P-B,Electronics,Returning,2,0.130,4329.780,4029.290,300.490
2026-03-06,East,B06,P-B,Electronics,New,6,0.080,11342.970,8998.200,2344.780
2026-01-02,East,B04,P-C,Beauty,Returning,2,0.112,1030.760,638.630,392.130
2026-05-21,Central,B08,P-C,Beauty,Returning,6,0.096,3337.860,2031.210,1306.650
2026-05-31,South,B03,P-E,Sports,Returning,7,0.120,7523.630,5218.100,2305.530
2026-01-12,Central,B03,P-B,Electronics,New,6,0.047,12517.880,9586.110,2931.770
2026-05-16,South,B10,P-B,Electronics,New,5,0.115,9616.990,8801.570,815.420
2026-02-02,North,B08,P-C,Beauty,Returning,7,0.051,4635.750,2686.750,1949.000
2026-04-22,North,B03,P-B,Electronics,New,5,0.114,11036.120,9090.670,1945.450
2026-05-20,Central,B09,P-C,Beauty,New,5,0.028,3117.160,1764.660,1352.500
2026-02-18,East,B05,P-D,Food,New,4,0.114,1426.890,1094.640,332.250
2026-06-07,South,B11,P-A,Home,New,4,0.000,4088.170,2534.660,1553.500
2026-01-10,North,B06,P-E,Sports,VIP,1,0.081,1080.080,716.810,363.260
2026-03-17,Central,B02,P-A,Home,New,2,0.066,1655.970,1099.220,556.750
2026-06-21,North,B08,P-B,Electronics,Returning,3,0.039,6572.020,4993.230,1578.790
2026-05-27,North,B12,P-A,Home,Returning,6,0.065,4742.330,3146.220,1596.110
2026-03-07,East,B09,P-C,Beauty,New,6,0.107,3488.810,2147.670,1341.140
2026-01-31,East,B11,P-B,Electronics,Returning,3,0.044,5642.170,4306.510,1335.660
2026-05-07,North,B02,P-B,Electronics,New,1,0.000,2282.430,1666.170,616.260
2026-04-11,South,B01,P-A,Home,VIP,5,0.104,3487.000,2413.250,1073.750
2026-01-28,Central,B09,P-C,Beauty,Returning,4,0.082,2702.650,1619.230,1083.420
2026-03-15,North,B08,P-C,Beauty,New,3,0.083,1760.250,1056.180,704.060
2026-03-07,Central,B07,P-E,Sports,New,1,0.091,1242.690,834.350,408.350
2026-04-27,North,B01,P-B,Electronics,New,3,0.101,6036.570,4903.040,1133.530
2026-06-05,East,B10,P-C,Beauty,Returning,6,0.142,3723.360,2387.060,1336.300
2026-02-08,East,B09,P-D,Food,New,7,0.086,2132.840,1587.460,545.380
2026-01-29,Central,B11,P-B,Electronics,New,4,0.089,7657.110,6132.970,1524.140
2026-03-01,East,B05,P-D,Food,VIP,5,0.148,1325.080,1057.840,267.240
2026-01-24,Central,B01,P-A,Home,VIP,1,0.142,845.600,610.880,234.720
2026-06-17,Central,B09,P-D,Food,New,1,0.019,387.550,268.630,118.910
2026-01-26,North,B12,P-D,Food,New,2,0.069,595.640,435.170,160.470
2026-04-22,Central,B12,P-E,Sports,New,5,0.001,5996.310,3661.390,2334.920
2026-04-17,South,B09,P-C,Beauty,New,1,0.035,624.600,356.110,268.500
2026-05-19,Central,B12,P-A,Home,VIP,3,0.099,2191.470,1507.280,684.190
2026-02-19,Central,B08,P-A,Home,Returning,4,0.187,3009.020,2294.720,714.300
2026-04-24,East,B02,P-E,Sports,New,4,0.072,4859.160,3194.120,1665.040
2026-06-05,East,B04,P-A,Home,Returning,7,0.025,6542.120,4158.320,2383.800
2026-02-06,North,B02,P-C,Beauty,New,1,0.084,512.650,307.670,204.980
2026-04-24,South,B05,P-B,Electronics,New,2,0.180,3279.650,3239.400,40.250
2026-02-23,Central,B05,P-B,Electronics,New,4,0.080,8207.730,6511.030,1696.700
2026-05-09,Central,B02,P-E,Sports,New,6,0.057,6858.300,4435.450,2422.850
2026-01-25,South,B01,P-E,Sports,Returning,6,0.222,5328.190,4176.770,1151.420
2026-01-09,Central,B04,P-E,Sports,New,3,0.125,2864.300,1996.670,867.630
2026-06-22,South,B08,P-C,Beauty,Returning,4,0.052,2348.250,1362.180,986.070
2026-01-03,South,B04,P-C,Beauty,Returning,7,0.043,4419.740,2539.720,1880.020
2026-04-04,East,B05,P-E,Sports,New,3,0.132,3250.590,2284.980,965.610
2026-02-14,Central,B01,P-C,Beauty,VIP,5,0.136,3164.950,2013.710,1151.240
2026-04-10,East,B08,P-B,Electronics,New,4,0.050,9247.530,7106.220,2141.320
2026-05-01,South,B08,P-E,Sports,New,3,0.117,2969.480,2050.610,918.870
2026-05-13,Central,B07,P-D,Food,New,1,0.043,381.950,271.290,110.670
2026-02-15,East,B09,P-C,Beauty,Returning,7,0.004,4017.280,2219.010,1798.280
2026-02-03,Central,B11,P-B,Electronics,VIP,6,0.054,14332.680,11063.130,3269.550
2026-01-11,Central,B07,P-E,Sports,New,6,0.077,5716.310,3777.130,1939.190
2026-04-30,Central,B10,P-B,Electronics,New,7,0.049,16701.310,12815.550,3885.770
2026-03-01,South,B08,P-D,Food,Returning,2,0.126,660.480,513.780,146.700
2026-04-05,South,B03,P-B,Electronics,New,1,0.154,2027.840,1940.760,87.080
2026-05-22,South,B01,P-C,Beauty,New,6,0.074,3422.000,2033.120,1388.880
2026-04-29,North,B10,P-C,Beauty,Returning,3,0.151,1444.730,935.970,508.770
2026-05-15,South,B03,P-C,Beauty,Returning,6,0.032,4183.540,2378.210,1805.330
2026-01-24,East,B08,P-D,Food,New,5,0.146,1367.950,1089.130,278.820
2026-05-02,East,B02,P-B,Electronics,Returning,2,0.101,3731.080,3030.840,700.240
2026-04-02,North,B12,P-B,Electronics,VIP,1,0.001,2525.840,1846.550,679.290
2026-01-12,South,B11,P-A,Home,New,3,0.128,2646.430,1881.860,764.570
2026-04-28,South,B05,P-A,Home,Returning,3,0.103,2368.190,1636.780,731.410
2026-06-22,North,B04,P-D,Food,New,7,0.000,2332.950,1586.410,746.540
2026-01-09,Central,B01,P-B,Electronics,Returning,3,0.082,6235.060,4958.860,1276.200
2026-06-13,Central,B05,P-B,Electronics,Returning,5,0.095,10444.610,8425.750,2018.860
2026-05-23,Central,B09,P-D,Food,Returning,1,0.029,323.470,226.590,96.870
2026-06-24,South,B11,P-A,Home,New,4,0.000,3855.540,2390.430,1465.110
2026-06-28,Central,B02,P-D,Food,VIP,6,0.083,1905.270,1412.580,492.690
2026-04-17,South,B11,P-D,Food,VIP,2,0.064,604.830,439.350,165.480
2026-05-04,East,B07,P-B,Electronics,Returning,5,0.000,11595.810,8464.940,3130.870
2026-05-19,North,B04,P-E,Sports,New,1,0.022,1056.540,659.320,397.220
2026-01-25,South,B07,P-B,Electronics,New,5,0.090,8920.340,7940.080,980.260
2026-05-30,East,B06,P-C,Beauty,Returning,6,0.129,3323.100,2098.750,1224.350
2026-01-20,Central,B09,P-E,Sports,New,7,0.140,6633.060,4707.340,1925.730
2026-04-06,East,B01,P-E,Sports,Returning,5,0.155,4889.680,3528.360,1361.320
2026-04-29,North,B10,P-D,Food,New,7,0.073,2189.810,1605.710,584.100
2026-01-06,East,B12,P-E,Sports,New,2,0.123,1897.300,1320.020,577.280
2026-05-22,South,B09,P-C,Beauty,Returning,2,0.067,1327.240,782.540,544.700
2026-06-14,South,B12,P-D,Food,Returning,1,0.072,353.160,258.850,94.310
2026-02-28,South,B10,P-C,Beauty,New,5,0.149,2927.770,1892.920,1034.850
2026-06-05,North,B11,P-E,Sports,New,2,0.114,2402.520,1654.740,747.780
2026-01-15,North,B05,P-B,Electronics,VIP,5,0.011,11314.520,8350.520,2964.000
2026-02-22,South,B07,P-E,Sports,Returning,3,0.148,3075.880,2202.390,873.490
2026-04-30,Central,B03,P-B,Electronics,Returning,6,0.013,14401.320,10655.820,3745.490
2026-05-04,South,B04,P-B,Electronics,New,6,0.147,10928.720,10376.470,552.250
2026-05-05,South,B03,P-E,Sports,Returning,3,0.084,3037.470,2023.010,1014.470
2026-04-08,Central,B01,P-A,Home,Returning,5,0.053,3799.120,2486.890,1312.230
2026-05-01,Central,B07,P-C,Beauty,New,2,0.038,1289.560,736.900,552.660
2026-05-18,East,B10,P-D,Food,New,2,0.051,674.900,483.700,191.200
2026-05-02,South,B08,P-A,Home,New,2,0.054,1856.930,1216.670,640.270
2026-03-05,North,B03,P-E,Sports,New,1,0.022,1107.140,690.540,416.600
2026-06-10,Central,B05,P-D,Food,New,7,0.076,2372.100,1745.520,626.580
2026-03-24,South,B04,P-B,Electronics,New,4,0.233,6611.300,6981.710,-370.410
2026-03-30,Central,B09,P-E,Sports,New,1,0.056,1110.560,717.660,392.900
2026-03-16,North,B12,P-C,Beauty,New,5,0.097,2508.840,1527.790,981.050
2026-04-29,East,B07,P-D,Food,Returning,6,0.000,2378.160,1617.150,761.010
2026-02-09,North,B09,P-E,Sports,New,4,0.089,4178.840,2799.360,1379.480
2026-01-09,Central,B04,P-E,Sports,New,2,0.089,2398.780,1605.570,793.210
2026-01-07,East,B05,P-E,Sports,VIP,4,0.120,4608.030,3192.750,1415.280
2026-06-11,Central,B03,P-D,Food,Returning,4,0.000,1289.600,876.930,412.670
2026-06-29,North,B09,P-D,Food,New,3,0.090,1001.210,748.330,252.890
2026-01-07,North,B08,P-E,Sports,New,5,0.137,4593.360,3244.900,1348.460
2026-06-06,South,B04,P-C,Beauty,New,6,0.131,3130.610,1980.950,1149.660
2026-05-28,South,B08,P-A,Home,Returning,1,0.108,727.400,505.630,221.770
2026-03-30,North,B01,P-D,Food,New,5,0.022,1766.930,1227.950,538.980
2026-05-19,Central,B02,P-C,Beauty,Returning,1,0.024,702.500,395.880,306.620
2026-06-26,East,B02,P-C,Beauty,Returning,1,0.018,669.400,374.790,294.610
2026-04-01,South,B11,P-E,Sports,New,7,0.055,7888.980,5094.010,2794.970
2026-03-23,South,B02,P-C,Beauty,Returning,2,0.161,960.260,629.420,330.850
2026-04-19,Central,B09,P-D,Food,VIP,4,0.161,1302.020,1054.660,247.360
2026-01-19,South,B12,P-B,Electronics,Returning,6,0.111,13440.340,12239.830,1200.520
2026-04-13,East,B08,P-D,Food,Returning,7,0.144,1854.500,1473.730,380.770
2026-06-25,South,B04,P-C,Beauty,New,3,0.036,1679.300,957.700,721.600
2026-06-21,Central,B04,P-D,Food,VIP,1,0.090,326.290,243.940,82.340
2026-01-26,North,B05,P-A,Home,VIP,4,0.112,3405.850,2378.110,1027.740
2026-05-17,South,B06,P-C,Beauty,New,3,0.084,1945.970,1168.910,777.050
2026-06-12,Central,B02,P-C,Beauty,New,3,0.042,1884.080,1081.960,802.120
2026-06-13,North,B09,P-E,Sports,New,7,0.073,6889.310,4535.750,2353.560
2026-01-17,Central,B06,P-C,Beauty,New,7,0.207,3338.850,2316.890,1021.960
2026-06-09,Central,B02,P-E,Sports,New,3,0.050,3001.420,1927.610,1073.820
2026-03-12,North,B07,P-E,Sports,VIP,5,0.070,4821.930,3163.610,1658.320
2026-06-22,East,B03,P-E,Sports,New,1,0.094,1162.800,783.150,379.650
2026-05-04,South,B03,P-B,Electronics,New,1,0.182,2037.470,2018.060,19.410
2026-03-28,Central,B03,P-B,Electronics,New,6,0.149,9800.900,8405.380,1395.520
2026-05-03,Central,B02,P-C,Beauty,Returning,2,0.079,1040.230,621.070,419.160
2026-04-02,East,B04,P-B,Electronics,New,6,0.120,10661.860,8842.140,1819.720
2026-02-12,East,B02,P-A,Home,New,4,0.102,3210.540,2215.780,994.760
2026-03-22,Central,B03,P-C,Beauty,New,7,0.062,3935.990,2309.080,1626.910
2026-05-09,South,B08,P-E,Sports,Returning,1,0.109,1099.460,752.400,347.060
2026-05-10,Central,B12,P-D,Food,Returning,1,0.090,363.190,271.490,91.700
2026-02-23,North,B05,P-A,Home,Returning,1,0.099,846.820,582.580,264.240
2026-01-11,Central,B01,P-D,Food,Returning,7,0.052,2268.740,1627.800,640.940
2026-05-11,East,B06,P-C,Beauty,New,4,0.063,2311.370,1356.180,955.190
2026-03-07,North,B07,P-B,Electronics,Returning,5,0.115,9771.100,8059.960,1711.150
2026-01-04,South,B12,P-D,Food,New,3,0.071,937.670,686.040,251.630
2026-04-13,East,B07,P-A,Home,Returning,7,0.091,5505.100,3754.380,1750.720
2026-04-01,North,B04,P-B,Electronics,Returning,2,0.077,3683.740,2912.740,771.000
2026-02-11,South,B04,P-D,Food,Returning,7,0.171,2270.820,1863.580,407.240
2026-01-04,South,B05,P-C,Beauty,New,1,0.059,565.460,330.400,235.070
2026-03-01,Central,B07,P-E,Sports,New,1,0.140,1159.800,822.210,337.590
2026-02-02,North,B12,P-D,Food,VIP,6,0.087,1780.060,1326.350,453.710
2026-04-17,Central,B09,P-C,Beauty,VIP,1,0.134,492.380,312.860,179.520
2026-04-23,Central,B10,P-E,Sports,New,2,0.122,2211.100,1536.150,674.950
2026-03-22,East,B09,P-C,Beauty,VIP,3,0.101,1642.340,1005.100,637.240
2026-03-06,Central,B01,P-E,Sports,Returning,7,0.060,8932.660,5799.670,3132.980
2026-01-28,South,B04,P-A,Home,VIP,2,0.117,1778.620,1248.900,529.720
2026-06-24,Central,B05,P-E,Sports,New,1,0.129,976.830,684.400,292.430
2026-02-13,South,B12,P-B,Electronics,New,2,0.236,3048.580,3230.030,-181.450
2026-04-29,Central,B01,P-E,Sports,Returning,2,0.068,2250.360,1473.470,776.890
2026-04-13,East,B11,P-E,Sports,New,4,0.078,3906.870,2583.560,1323.310
2026-04-13,East,B07,P-B,Electronics,Returning,3,0.098,6065.900,4908.760,1157.140
2026-04-27,Central,B07,P-B,Electronics,Returning,4,0.128,8756.360,7326.390,1429.970
2026-04-27,South,B02,P-D,Food,Returning,2,0.072,663.630,486.100,177.530
2026-02-01,South,B01,P-C,Beauty,Returning,6,0.114,3680.810,2283.870,1396.940
2026-04-15,North,B01,P-D,Food,Returning,3,0.000,1095.800,745.140,350.660
2026-04-04,East,B07,P-B,Electronics,New,7,0.039,16767.470,12737.690,4029.780
2026-03-20,North,B06,P-E,Sports,VIP,3,0.070,3591.520,2356.790,1234.730
